FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Gini Coefficient,Household Income,Annual Labor Force Participation Rate (2015-2019),Annual Unemployment Rate (2015-2019),Below Poverty,Uninsured,Monthly Unemployment Rate (Dec-22)
27085,McLeod County,Minnesota,0.9482517098360206,0.17502128711511522,0.4308,67067.0,0.6815841855995607,0.03333333333333333,0.04461970613656007,0.051748290163979416,0.042
27085,McLeod County,Minnesota,0.9482517098360206,0.17502128711511522,0.4308,67067.0,0.6815841855995607,0.03333333333333333,0.04461970613656007,0.051748290163979416,0.037000000000000005
27087,Mahnomen County,Minnesota,0.8575925925925926,0.41574074074074074,0.4392,48021.0,0.5730048755452912,0.09046126287505597,0.16516023007395234,0.14240740740740743,0.067
27087,Mahnomen County,Minnesota,0.8575925925925926,0.41574074074074074,0.4392,48021.0,0.5730048755452912,0.09046126287505597,0.16516023007395234,0.14240740740740743,0.065
27089,Marshall County,Minnesota,0.9598224195338513,0.17713651498335184,0.3927,64239.0,0.632689904179975,0.02875329236172081,0.03814477676636324,0.04017758046614872,0.067
27089,Marshall County,Minnesota,0.9598224195338513,0.17713651498335184,0.3927,64239.0,0.632689904179975,0.02875329236172081,0.03814477676636324,0.04017758046614872,0.055999999999999994
27091,Martin County,Minnesota,0.9380815854333283,0.22921382224234194,0.4302,57002.0,0.6524579962663348,0.05436337625178827,0.08423763104653302,0.06191841456667169,0.033
27091,Martin County,Minnesota,0.9380815854333283,0.22921382224234194,0.4302,57002.0,0.6524579962663348,0.05436337625178827,0.08423763104653302,0.06191841456667169,0.028999999999999998
27093,Meeker County,Minnesota,0.9575208913649025,0.19080779944289694,0.4203,67099.0,0.6444420155208219,0.023829715061058344,0.042672841548130995,0.04247910863509752,0.042
27093,Meeker County,Minnesota,0.9575208913649025,0.19080779944289694,0.4203,67099.0,0.6444420155208219,0.023829715061058344,0.042672841548130995,0.04247910863509752,0.047
27095,Mille Lacs County,Minnesota,0.9414979601262412,0.27014856439073204,0.4209,61995.0,0.6456832805147412,0.05830296720458095,0.0772351615326822,0.05850203987375879,0.08
27095,Mille Lacs County,Minnesota,0.9414979601262412,0.27014856439073204,0.4209,61995.0,0.6456832805147412,0.05830296720458095,0.0772351615326822,0.05850203987375879,0.064
27097,Morrison County,Minnesota,0.9526906097124448,0.22467485980193294,0.4291,61873.0,0.6549519572288481,0.0449252197739468,0.06496674057649668,0.04730939028755521,0.064
27097,Morrison County,Minnesota,0.9526906097124448,0.22467485980193294,0.4291,61873.0,0.6549519572288481,0.0449252197739468,0.06496674057649668,0.04730939028755521,0.075
27099,Mower County,Minnesota,0.948326958636237,0.2387091871627954,0.4366,60386.0,0.6525585766600771,0.030343663090981327,0.08310222817251602,0.05167304136376305,0.027999999999999997
27099,Mower County,Minnesota,0.948326958636237,0.2387091871627954,0.4366,60386.0,0.6525585766600771,0.030343663090981327,0.08310222817251602,0.05167304136376305,0.033
27101,Murray County,Minnesota,0.9549195430536789,0.18769192973836138,0.4049,69250.0,0.6328160313394606,0.02761904761904762,0.03090909090909091,0.045080456946321124,0.065
27101,Murray County,Minnesota,0.9549195430536789,0.18769192973836138,0.4049,69250.0,0.6328160313394606,0.02761904761904762,0.03090909090909091,0.045080456946321124,0.049
27103,Nicollet County,Minnesota,0.9661186142102173,0.1606283029947152,0.4676,74317.0,0.7276378240233662,0.018916206723532364,0.04746455179043499,0.033881385789782725,0.025
27103,Nicollet County,Minnesota,0.9661186142102173,0.1606283029947152,0.4676,74317.0,0.7276378240233662,0.018916206723532364,0.04746455179043499,0.033881385789782725,0.023
27105,Nobles County,Minnesota,0.8888939566704676,0.24314709236031928,0.425,57101.0,0.6611540535682185,0.028366866050389704,0.07388484967577127,0.11110604332953244,0.03
27105,Nobles County,Minnesota,0.8888939566704676,0.24314709236031928,0.425,57101.0,0.6611540535682185,0.028366866050389704,0.07388484967577127,0.11110604332953244,0.025
27107,Norman County,Minnesota,0.9354029476324867,0.22013170272812793,0.44,58846.0,0.6306078850262187,0.05697566984909147,0.05609756097560976,0.06459705236751334,0.049
27107,Norman County,Minnesota,0.9354029476324867,0.22013170272812793,0.44,58846.0,0.6306078850262187,0.05697566984909147,0.05609756097560976,0.06459705236751334,0.040999999999999995
27109,Olmsted County,Minnesota,0.9638545893052293,0.14547350173975304,0.4522,84656.0,0.7111010154145346,0.03235857832972797,0.04578214182064429,0.03614541069477073,0.025
27109,Olmsted County,Minnesota,0.9638545893052293,0.14547350173975304,0.4522,84656.0,0.7111010154145346,0.03235857832972797,0.04578214182064429,0.03614541069477073,0.022000000000000002
27111,Otter Tail County,Minnesota,0.9481626852541111,0.1861169384854842,0.4321,63587.0,0.6262529634405024,0.043833432954771864,0.05068817073910144,0.05183731474588893,0.051
27111,Otter Tail County,Minnesota,0.9481626852541111,0.1861169384854842,0.4321,63587.0,0.6262529634405024,0.043833432954771864,0.05068817073910144,0.05183731474588893,0.04
27113,Pennington County,Minnesota,0.9720980533525595,0.17173756308579669,0.3961,64268.0,0.686349830266214,0.029806065339060262,0.07739592064822576,0.0279019466474405,0.052000000000000005
27113,Pennington County,Minnesota,0.9720980533525595,0.17173756308579669,0.3961,64268.0,0.686349830266214,0.029806065339060262,0.07739592064822576,0.0279019466474405,0.046
